M,experiment,i,JGA,tPP,base,pm,lora,lora_alpha,DS,Y,neg
h,VibrantKefBir,1,0.100,,meta-llama/Llama-2-chat-hf,13,1,8,100000,0.2,0.5
t,SupernovaTeth,4,0.098,,meta-llama/Llama-2-chat-hf,7b,32,64,100000,0.2,0.5
t,SupernovaTeth,6,0.098,,meta-llama/Llama-2-chat-hf,7b,32,64,100000,0.2,0.5
t,CelestialWatto,5,0.096,,meta-llama/Llama-2-chat-hf,7b,2,16,100000,0.2,0.5
h,SpectralDroopy,5,0.096,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
t,AudaciousWatto,3,0.095,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
t,CelestialWatto,6,0.095,,meta-llama/Llama-2-chat-hf,7b,2,16,100000,0.2,0.5
t,FearlessLehon,5,0.095,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
t,ElusiveGideon,5,0.095,,meta-llama/Llama-2-chat-hf,7b,1,8,25000,0.2,0.5
h,LivelyCount,1,0.094,,meta-llama/Llama-2-chat-hf,13,1,2,100000,0.2,0.5
h,ElusiveK2SO,1,0.092,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
h,SpectralDroopy,3,0.092,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
h,DashingQuarren,3,0.092,,meta-llama/Llama-2-chat-hf,13,1,4,100000,0.2,0.5
t,SupernovaTeth,3,0.091,,meta-llama/Llama-2-chat-hf,7b,32,64,100000,0.2,0.5
t,FearlessLehon,6,0.091,,meta-llama/Llama-2-chat-hf,7b,4,16,100000,0.2,0.5
t,EmboldenedBoba,1,0.090,,meta-llama/Llama-2-chat-hf,7b,2,16,100000,0.2,0.5
h,SpectralDroopy,6,0.090,,meta-llama/Llama-2-chat-hf,13,1,16,100000,0.2,0.5
t,ResilientKanan,3,0.089,,meta-llama/Llama-2-chat-hf,7b,32,16,100000,0.2,0.5
t,AudaciousWatto,2,0.089,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
t,AudaciousWatto,5,0.089,,meta-llama/Llama-2-chat-hf,7b,1,16,100000,0.2,0.5
h,EmboldenedHapes,4,0.089,,meta-llama/Llama-2-chat-hf,13,2,16,100000,0.2,0.5
