experiment,i,M,base,pm,lora,q,BS,GAS,GBS,beam,tGPU,gGPU
RelentlessSavage,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,46.
RelentlessSavage,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,69.,46.
RelentlessBodhi,0,h,RogueNevarro/8,13,32,nf4,256,128,6,3,Non,47.
IntrepidMalachor,11,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,10,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,9,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,8,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,7,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,6,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,5,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,4,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,3,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,2,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
IntrepidMalachor,1,h,meta-llama/Llama-2-chat-hf,13,32,nf4,256,128,6,3,68.,38.
HyperspaceObiWan,0,h,ResplendentMace/8,13,32,nf4,256,128,6,3,Non,48.
IllustriousDarthMaul,11,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,10,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,9,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,8,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,7,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,6,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,5,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,4,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,3,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,2,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
IllustriousDarthMaul,1,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,68.,38.
HyperspaceYlesia,0,h,RogueNevarro/8,13,32,nf4,256,128,6,3,Non,47.
LegendaryIthor,10,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,9,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,8,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,7,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,6,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,5,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,4,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,3,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,2,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
LegendaryIthor,1,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,48.
ExoticCrait,10,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,9,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,8,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,7,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,6,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,5,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,4,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,3,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
ExoticCrait,2,h,RelentlessSavage/11,13,32,nf4,256,128,6,3,69.,51.
